,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
162,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.3,,Stanford,15.3,±5,CH,1335,±1,466
163,C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,5.42,,Xi’an_Jiaotong,11.5,±2.36,CH,1543,±3,46
164,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.17,±1,Stanford,15.3,±5,CH,1409,±1,390
165,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.21,0.7,CCCCCCCCCCCC,0.79,430,Speceis,21,8.09,±9.3,Stanford,15.3,,CH,1117,±1,412
166,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.72,1.13,CCCCCCCCCCCC,1.28,430,Speceis,21,5.21,±9.3,Stanford,15.3,,CH,943,±1,3804
168,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,22,,Stanford,5,±5,OH,987,±1,699
169,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.15,,Stanford,15.3,±5,CH,1434,±1,205
170,n_Dodecane_Nano,N2,99.19,1,CCCCCCCCCCCC,0.05,430,Speceis,0.76,2.28,,Stanford,15.3,,CH,1407,,791
171,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.88,0.72,CCCCCCCCCCCCCCCC,0.12,431,Species,4,1.94,,Stanford,15.3,±2,CH,1266,±2,1122
172,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.19,±1,Stanford,15.3,±5,CH,1405,±1,415
173,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,1.98,±1,Stanford,14.13,±3,OH,1307,±0.7,663
174,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,30.9,,Stanford,5,±5,OH,1117,±1,266
175,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,1.89,,Stanford,5,,OH,1299,±1.8,311
176,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2,CCCC,1,431,Speceis,3.25,1.03,±1,Stanford,15.3,±5,CH,1666,±1,177
177,n_Alkane_Oxidation,Ar,99.15,0.64,CCCCCCCCCC,0.03,431,Species,0.81,1.69,,Stanford,8.9,±5,CH,1327, ±1.5,1099
178,n_Alkane_Oxidation,Ar,99.51,1,CCCCCCCCCC,0.03,431,Species,0.47,2.19,,Stanford,8.9,±5,CH,1479, ±1.5,375
179,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,3.81,±1,Stanford,15.3,±5,CH,1399,±1,243
180,n_Dodecane_Nano,N2,99.21,1,CCCCCCCCCCCC,0.05,430,Speceis,0.74,2.07,,Stanford,15.3,,CH,1545,,262
182,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,78.55,1,CCCCCCC,1.75,431,Species,19.7,1.16,,Stanford,15.3,±5,CH,1330,±1,382
183,n_Dodecane / Vasu_2010_thesis,N2,96.3,0.5,CCCCCCCCCCCC,0.1,306,Species,3.6,16.07,,Stanford,5,±5,OH,1217,±1,508
184,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1196,,229
185,n_Dodecane / Vasu_2010_thesis,N2,98.04,0.5,CCCCCCCCCCCC,0.05,306,Species,1.91,15.31,,Stanford,5,±5,OH,1258,±1,682
186,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.14,±1,Stanford,15.3,±5,CH,1352,±1,307
187,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.4,1,CCCCCCC,0.8,431,Species,8.8,1.17,,Stanford,15.3,±5,CH,1426,±1,208
188,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,20.6,,Stanford,5,±5,OH,1135,±1,178
190,C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.24,,Xi’an_Jiaotong,11.5,±2.36,CH,1450,±3,267
191,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.86,±1,Stanford,14.13,±3,OH,1375,±0.7,483
192,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,20.1,,Stanford,5,±5,OH,1054,±1,788
