,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
3922,52.0305,-0.976,-0.4376,-16.7539,1.736,8.0082,0.7498
3923,56.8811,-0.9533,-0.4886,-18.3589,1.9719,7.9467,0.7303
3924,78.0928,-0.9954,-0.5182,-25.2944,0.613,7.9795,0.7318
3925,46.1859,-0.945,-0.4263,-14.7739,1.3774,7.7751,0.7545
3926,53.4268,-0.9805,-0.5025,-17.2464,4.2125,7.9836,0.747
3927,66.152,-0.9765,-0.48,-21.375,1.8004,7.9007,0.7288
3928,59.1471,-0.9603,-0.4898,-19.1075,1.7834,7.9767,0.7272
3929,31.7439,-0.9432,-0.4673,-10.1835,5.8723,8.0183,0.7457
3930,51.7082,-0.956,-0.4633,-16.629,2.0862,7.8654,0.7341
3931,61.4193,-0.9603,-0.4886,-19.8163,2.1962,7.8385,0.7289
3932,52.6774,-0.9604,-0.4866,-16.9849,2.7128,7.9482,0.7332
3933,63.7813,-0.958,-0.4931,-20.6002,1.8298,7.8703,0.7151
3934,77.9405,-0.966,-0.5278,-25.3104,0.5608,8.1171,0.7359
3935,49.0875,-0.9341,-0.4726,-15.7522,1.905,7.7732,0.7277
3936,68.4006,-0.9859,-0.4714,-22.06,1.8054,7.7523,0.7281
3937,57.4886,-0.9222,-0.4982,-18.5695,2.0157,7.8629,0.7176
3938,63.4797,-0.9802,-0.5188,-20.5668,3.6061,8.0356,0.7297
3939,78.2566,-0.9645,-0.5258,-25.397,0.688,8.0408,0.7408
3940,65.7541,-0.9719,-0.499,-21.2832,1.8643,8.005,0.728
3941,61.7348,-0.9536,-0.5017,-19.9425,1.8187,7.9101,0.7342
3942,85.1724,-1.0072,-0.5995,-27.9025,3.1938,8.7652,0.7601
3943,45.1021,-0.9428,-0.4786,-14.468,2.7677,7.8403,0.7398
3944,50.3436,-0.9976,-0.4638,-16.2674,4.2837,8.1352,0.7539
3945,44.5302,-0.9344,-0.461,-14.2391,2.2362,7.7207,0.7327
3946,-1.7965,-0.8923,-0.496,0.8147,8.2635,7.8469,0.7393
3947,76.6467,-1.0274,-0.5502,-24.9463,5.5228,8.2065,0.7486
3948,59.3968,-0.9493,-0.4868,-19.1773,1.3775,7.9324,0.734
3949,46.4821,-0.934,-0.4945,-14.9573,2.1787,7.9418,0.7342
3950,57.1093,-0.9704,-0.506,-18.3789,2.2579,7.7867,0.7319
3951,38.3288,-0.9333,-0.466,-12.2935,4.6002,7.866,0.7289
3952,70.1476,-1.0143,-0.5039,-22.7684,3.5139,8.148,0.7344
3953,76.9606,-0.9938,-0.5192,-24.9648,0.9094,8.0907,0.7302
3954,52.4646,-0.9364,-0.4569,-16.8866,2.2959,7.8162,0.7199
3955,51.4514,-0.9517,-0.4813,-16.5653,2.1561,7.9203,0.7361
3956,45.6044,-0.9641,-0.4333,-14.6053,1.9647,7.8656,0.7525
3957,53.4938,-0.925,-0.4769,-17.2488,2.1423,7.866,0.7196
3958,42.2922,-0.9694,-0.4035,-13.5571,1.9496,8.0164,0.7481
3959,44.8998,-0.9168,-0.4975,-14.4161,1.801,7.8739,0.7381
3960,34.7052,-0.9052,-0.485,-11.0803,2.4738,7.8503,0.732
3961,67.7081,-0.9672,-0.471,-21.8883,0.9547,7.9346,0.7188
3962,81.4314,-1.0066,-0.5143,-26.4724,0.8004,8.2624,0.7404
3963,28.6066,-0.8757,-0.4356,-9.0394,1.8787,7.7009,0.7313
3964,54.0552,-0.9858,-0.4568,-17.3984,2.1977,7.9328,0.7423
3965,49.6189,-0.9415,-0.4935,-15.965,2.8945,7.8369,0.7298
3966,45.0575,-0.9359,-0.4765,-14.4384,1.6184,7.8385,0.7363
3967,78.1321,-0.988,-0.4881,-25.3495,0.533,8.1195,0.7355
3968,61.5816,-0.9576,-0.4936,-19.8897,1.3988,7.9327,0.7248
3969,93.8015,-1.0064,-0.499,-30.4676,-0.3913,8.0769,0.7285
3970,50.9643,-0.9809,-0.4406,-16.392,1.9001,7.9618,0.7437
3971,57.4327,-0.9973,-0.4511,-18.5474,2.493,8.0631,0.7452
3972,62.6733,-0.9495,-0.496,-20.2654,1.5135,7.9605,0.7222
3973,66.6392,-0.9605,-0.5009,-21.6008,1.242,8.1174,0.7444
3974,44.8181,-0.9506,-0.4748,-14.355,3.6954,7.7389,0.7414
