,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
310,-6.8384,-0.4454,0.8113,-1.4671,-9.475,22.5958,0.9094
311,-6.8348,-0.4597,0.8699,-1.5132,-9.9782,22.8803,0.9165
312,-7.1475,-0.4218,0.7403,-1.4665,-9.2542,22.6671,0.9155
313,-7.0179,-0.4283,0.8201,-1.5194,-9.8613,22.8741,0.9068
314,-6.595,-0.4466,0.8171,-1.4531,-10.1024,22.3455,0.912
315,-6.8333,-0.4502,0.7896,-1.4578,-9.7242,22.5253,0.9132
316,-6.8192,-0.4313,0.7814,-1.4573,-9.7355,22.4387,0.9028
317,-6.9825,-0.4345,0.7748,-1.4638,-9.725,22.641,0.9126
318,-6.8745,-0.4104,0.8184,-1.5332,-10.0365,22.6594,0.9227
319,-6.7957,-0.3789,0.9032,-1.6306,-14.0351,23.0499,0.9115
320,-6.9012,-0.4161,0.7751,-1.4756,-9.7931,22.4974,0.9086
321,-7.0892,-0.4507,0.8414,-1.5157,-9.6159,23.0595,0.9225
322,-6.9744,-0.4008,0.7562,-1.4914,-9.4597,22.4747,0.9183
323,-6.8415,-0.4075,0.7886,-1.4999,-9.7875,22.4721,0.9188
324,-7.0152,-0.4559,0.735,-1.4089,-9.0503,22.5164,0.9143
325,-7.0708,-0.4279,0.7235,-1.4381,-9.4962,22.5271,0.9139
326,-7.0044,-0.4633,0.6919,-1.3646,-8.5448,22.3149,0.9129
327,-6.9535,-0.4354,0.7761,-1.4612,-9.6951,22.6029,0.9141
328,-6.8286,-0.38,0.8711,-1.5863,-13.204,22.9177,0.9141
329,-6.9954,-0.4324,0.7902,-1.4864,-9.2603,22.6908,0.9129
330,-6.8893,-0.4907,0.7376,-1.3341,-9.201,22.4158,0.9327
331,-7.0756,-0.403,0.7458,-1.4863,-9.3402,22.5694,0.9209
332,-6.5382,-0.443,0.8356,-1.4625,-10.3565,22.3515,0.9126
333,-6.7174,-0.4189,0.7654,-1.4244,-9.2373,22.1515,0.9182
334,-6.6563,-0.4599,0.8994,-1.5132,-10.2702,22.7904,0.9172
335,-7.0702,-0.4274,0.7513,-1.4513,-9.4563,22.6212,0.912
336,-6.8348,-0.4597,0.8699,-1.5132,-9.9782,22.8803,0.9165
337,-6.8902,-0.3927,0.7973,-1.5308,-12.8626,22.7001,0.9152
338,-6.8222,-0.3825,0.789,-1.5267,-9.8768,22.4048,0.9113
