,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
648,-6.2056,-0.6148,0.7897,-1.5249,-2.2898,21.847,0.9631
649,-6.344,-0.6092,0.7772,-1.5374,-2.1643,22.0371,0.9633
650,-6.2234,-0.6142,0.7646,-1.5287,-2.0349,21.8295,0.9625
651,-6.1899,-0.6352,0.7659,-1.5381,-2.0307,21.8184,0.9627
652,-6.1675,-0.603,0.7827,-1.5207,-2.1188,21.745,0.9605
653,-6.2815,-0.6175,0.7892,-1.5625,-2.2076,22.0306,0.9625
654,-6.3707,-0.6205,0.7709,-1.5311,-2.1569,22.057,0.9635
655,-6.3908,-0.6337,0.7899,-1.5606,-2.1281,22.1876,0.9622
656,-6.2475,-0.6269,0.7865,-1.548,-2.2246,21.954,0.9623
657,-6.2543,-0.6125,0.7912,-1.537,-2.3964,21.9529,0.9634
658,-6.2123,-0.6211,0.795,-1.5643,-2.1825,21.9496,0.9632
659,-6.3455,-0.6103,0.8055,-1.5302,-2.3445,22.0797,0.9665
660,-6.3634,-0.6151,0.7674,-1.5255,-2.2112,22.0341,0.9644
661,-6.337,-0.6169,0.8028,-1.5556,-2.2356,22.1109,0.9615
662,-6.2272,-0.6194,0.8005,-1.5732,-2.3365,22.0095,0.9652
663,-6.1977,-0.6197,0.7765,-1.5425,-2.1426,21.8475,0.9612
664,-6.4234,-0.6133,0.8049,-1.4861,-2.4711,22.0967,0.9579
665,-6.2904,-0.6088,0.7814,-1.53,-2.1395,21.9405,0.962
666,-6.3139,-0.6151,0.7778,-1.5409,-2.0999,21.994,0.9655
667,-6.4274,-0.6128,0.7725,-1.5362,-2.0883,22.1385,0.965
668,-6.3475,-0.6119,0.7672,-1.5304,-2.0017,21.9917,0.9637
669,-6.2854,-0.6057,0.8097,-1.4914,-2.5946,21.9316,0.9587
670,-6.2776,-0.6177,0.7879,-1.5578,-2.2253,22.0215,0.9632
671,-6.2923,-0.6192,0.7643,-1.5341,-2.079,21.9406,0.9646
672,-6.3019,-0.6109,0.7866,-1.5295,-2.2603,21.9832,0.9629
673,-6.244,-0.6211,0.7754,-1.5418,-2.1725,21.9153,0.9625
674,-6.3683,-0.6023,0.7912,-1.519,-2.217,22.0349,0.9647
675,-6.3269,-0.6125,0.7668,-1.5287,-2.0241,21.9635,0.9625
676,-6.4313,-0.6351,0.7914,-1.5637,-2.066,22.2559,0.9644
677,-6.3806,-0.6125,0.8149,-1.5044,-2.709,22.1143,0.9567
678,-6.316,-0.6175,0.7922,-1.5543,-2.1577,22.056,0.9642
679,-6.3406,-0.6131,0.7719,-1.5293,-2.0714,21.9972,0.963
680,-6.4686,-0.6171,0.8062,-1.5354,-2.3792,22.278,0.9679
681,-6.4739,-0.6189,0.8037,-1.5453,-2.5067,22.3234,0.9703
682,-6.3268,-0.6112,0.7842,-1.5421,-2.1292,22.0207,0.9645
